Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End
20,2,3.0,7.4,7.7,2.4,1,15,14.71,20.78,5.55,10.45
25,1,3.0,8.0,10.1,2.8,2,109,14.51,15.09,6.81,8.18
20,2,2.0,9.0,4.5,1.6,0,27,18.67,17.92,5.51,10.17
21,1,1.0,7.5,0.4,2.0,4,71,9.19,5.25,8.77,8.58
21,1,0.0,8.1,7.2,3.0,5,12,7.21,16.23,7.55,8.09
25,2,1.0,8.0,7.9,1.5,2,24,20.67,21.42,6.54,10.87
18,2,3.0,5.3,5.4,2.3,4,87,9.96,18.99,7.18,7.81
22,2,3.0,6.0,4.9,2.2,2,93,16.3,9.62,7.42,8.0
18,1,0.0,4.1,5.4,3.2,1,107,11.23,9.1,7.5,9.88
18,1,3.0,4.4,4.7,1.4,2,104,11.42,20.46,8.24,7.16
18,1,0.0,5.8,0.6,2.8,5,76,19.69,16.71,5.27,8.55
20,0,2.0,6.4,2.6,3.7,0,108,18.28,2.67,7.84,10.0
25,1,2.0,7.7,6.0,3.5,5,99,7.13,21.73,8.84,8.91
23,1,3.0,8.5,8.7,3.5,4,103,10.63,3.26,5.79,10.88
21,2,0.0,6.8,6.1,1.6,0,108,10.23,21.24,5.74,8.83
21,0,0.0,4.8,6.5,4.0,0,116,2.42,5.86,6.59,7.4
18,1,1.0,6.1,1.1,3.6,2,69,14.36,9.95,6.28,9.9
23,0,1.0,7.7,5.1,3.4,3,32,15.62,20.01,7.83,8.54
23,2,2.0,4.1,2.1,2.6,5,31,7.8,13.6,8.13,10.32
19,1,2.0,5.9,11.7,3.5,5,52,12.53,3.2,5.08,9.98
20,2,3.0,8.4,0.5,2.6,4,61,14.32,18.62,5.27,10.59
20,0,2.0,8.0,4.6,1.8,0,110,16.83,8.74,6.65,10.75
25,1,2.0,8.3,9.4,2.5,0,65,2.08,8.31,7.73,9.78
20,1,3.0,7.9,1.4,3.4,4,14,20.73,10.68,6.74,10.22
21,1,3.0,7.1,10.8,2.6,4,92,4.58,11.99,8.45,8.12
23,0,3.0,5.8,2.5,3.0,4,93,20.39,13.31,5.06,8.95
19,2,1.0,7.1,5.8,2.6,1,22,18.02,11.41,5.93,9.34
18,0,2.0,7.0,7.3,2.7,4,119,18.47,19.78,6.98,10.71
19,1,0.0,6.1,0.4,4.0,4,85,12.15,8.19,6.96,10.33
25,0,2.0,8.4,3.7,2.0,1,92,9.08,15.63,5.33,9.15
18,0,0.0,4.3,7.1,3.2,4,106,9.64,3.44,5.87,9.01
23,2,1.0,6.8,1.1,2.0,5,99,13.8,15.91,5.83,8.95
22,0,0.0,7.2,0.9,1.3,5,56,20.41,20.03,8.91,9.82
25,1,2.0,5.8,10.7,2.2,3,5,11.21,19.56,5.73,10.92
25,1,2.0,6.8,10.4,2.0,2,43,20.86,21.28,8.56,9.48
18,0,1.0,4.9,3.9,2.4,0,2,5.69,3.86,8.42,9.63
18,2,3.0,7.5,0.7,3.9,5,104,5.71,18.57,5.42,8.1
21,1,1.0,5.0,5.3,3.6,1,27,4.1,9.97,8.34,8.04
25,2,2.0,6.1,5.1,1.7,3,17,14.71,6.37,5.1,7.47
19,2,0.0,6.6,1.2,2.6,0,86,8.18,15.52,6.5,8.83
21,2,0.0,7.3,4.0,2.7,5,42,12.26,15.74,7.08,8.89
23,2,3.0,5.7,2.2,1.3,4,26,12.79,11.09,8.23,7.77
21,0,2.0,8.0,2.2,2.9,0,6,3.87,4.42,7.7,7.76
23,0,2.0,8.5,0.5,2.9,3,6,15.32,10.81,7.69,8.13
22,1,1.0,4.4,4.7,1.2,5,55,17.82,19.3,5.84,7.2
21,0,2.0,5.2,8.7,1.9,2,54,19.54,8.78,8.55,10.38
